TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
4,0.2336224019527435,0.3566087782382965,0.7732255458831787,london,1,True,False,True
2,0.2162605226039886,0.3396142423152923,0.7865469455718994,boston,1,True,False,True
3,0.2376990914344787,0.3569422960281372,0.7656691670417786,boston,1,True,False,True
4,0.2594917714595794,0.3716700673103332,0.7377476692199707,boston,1,True,False,True
1,0.411812275648117,0.4746183454990387,0.5904247164726257,hongkong,4,True,False,False
2,0.3990778028964996,0.4674239754676819,0.5960233211517334,hongkong,4,True,False,False
3,0.4154097139835357,0.4706595540046692,0.585247278213501,hongkong,4,True,False,False
1,1.82618248462677,0.9544601440429688,-0.9497914910316468,boston,3,False,True,False
2,1.0842875242233276,0.7806269526481628,-0.0737103670835495,boston,3,False,True,False
4,1.0052142143249512,0.7500391006469727,-0.0090667009353637,boston,3,False,True,False
2,0.6723996996879578,0.6309481859207153,0.2793816030025482,saopaulo,1,False,True,False
3,0.6681743860244751,0.6282097101211548,0.3096778988838196,saopaulo,1,False,True,False
4,0.6627048254013062,0.624695897102356,0.2636803090572357,saopaulo,1,False,True,False
1,1.1032606363296509,0.8270370960235596,-0.2690574824810028,chicago,4,True,True,False
2,0.797495424747467,0.7140105962753296,0.2019963413476944,chicago,4,True,True,False
3,0.7141609191894531,0.6792784333229065,0.283219039440155,chicago,4,True,True,False
random,0.1636286973953247,0.2872603833675384,0.835900068283081,chicago,random,False,False,False
1,0.2009113729000091,0.3376600742340088,0.7858760356903076,boston,2,False,False,True
3,0.2474779933691024,0.3661427497863769,0.7560250163078308,boston,2,False,False,True
4,0.2664546370506286,0.3722723126411438,0.7311853766441345,boston,2,False,False,True
1,1.0011546611785889,0.8248264193534851,-0.107817031443119,saopaulo,3,True,True,True
2,0.9796081781387328,0.8162443041801453,-0.0463324934244155,saopaulo,3,True,True,True
4,1.0421466827392578,0.8388956785202026,-0.1713855266571045,saopaulo,3,True,True,True
2,0.9554439783096312,0.7969539165496826,-0.0069728693924844,london,1,True,True,True
3,1.0343055725097656,0.8328344225883484,-0.0059988698922097,london,1,True,True,True
4,1.054612398147583,0.8466535806655884,-0.0132106347009539,london,1,True,True,True
1,0.1977074593305587,0.3308439552783966,0.7848806381225586,london,3,True,False,False
2,0.2045034766197204,0.3402164876461029,0.7854917049407959,london,3,True,False,False
4,0.2277006804943084,0.3571828603744507,0.7787947654724121,london,3,True,False,False
1,0.3910260498523712,0.4687182307243347,0.6109720468521118,hongkong,3,False,False,False
2,0.3754485845565796,0.4577686488628387,0.6198337078094482,hongkong,3,False,False,False
4,0.4092678725719452,0.4751273989677429,0.5838599801063538,hongkong,3,False,False,False
1,0.917906939983368,0.7824380993843079,-0.0064259897917509,london,3,True,True,True
2,0.951668918132782,0.8003759980201721,-0.0032890040893107,london,3,True,True,True
4,1.0526353120803833,0.8525882959365845,-0.0114692253991961,london,3,True,True,True
1,0.2508764564990997,0.3673329055309295,0.7138464450836182,chicago,4,False,False,False
2,0.2017406523227691,0.3259219229221344,0.7991249561309814,chicago,4,False,False,False
3,0.1956064403057098,0.3180537223815918,0.8037354350090027,chicago,4,False,False,False
random,0.170267254114151,0.2957036793231964,0.8292232751846313,chicago,random,True,False,True
1,0.8993141651153564,0.8178660869598389,-0.0226048100739717,chicago,4,True,True,True
2,1.0152356624603271,0.8866029381752014,-0.0163149628788232,chicago,4,True,True,True
3,1.024778962135315,0.8923738598823547,-0.0274825431406497,chicago,4,True,True,True
random,0.7063534259796143,0.6536094546318054,0.2917288541793823,hongkong,random,False,True,False
1,0.7238314151763916,0.6691725254058838,0.2820891141891479,hongkong,3,False,True,True
2,0.725994884967804,0.6673622727394104,0.2679537534713745,hongkong,3,False,True,True
4,0.7671889662742615,0.6816191077232361,0.21504707634449,hongkong,3,False,True,True
random,0.5369248390197754,0.5501212477684021,0.4705772399902344,london,random,False,True,False
1,1.023703932762146,0.8185911178588867,-0.0132561065256595,hongkong,3,True,True,True
2,0.9956023097038268,0.8036301732063293,-0.0031498936004936,hongkong,3,True,True,True
4,0.991809606552124,0.804573655128479,-0.0157985687255859,hongkong,3,True,True,True
1,0.2770440578460693,0.4001890420913696,0.7050521969795227,boston,2,True,False,False
3,0.2663247585296631,0.3833542168140411,0.737439751625061,boston,2,True,False,False
4,0.297403335571289,0.4003344774246216,0.6991565227508545,boston,2,True,False,False
random,0.8975092768669128,0.7593435645103455,0.1146023944020271,london,random,True,True,False
random,0.364594429731369,0.4469107389450073,0.6339616179466248,hongkong,random,False,False,False
